"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"16:53:12,1775590","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 139.264, Length: 4.096"
"16:53:12,1776131","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 143.360, Length: 4.096"
"16:53:12,1776691","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 147.456, Length: 4.096"
"16:53:12,1777272","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 151.552, Length: 4.096"
"16:53:12,1778084","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 155.648, Length: 4.096"
"16:53:12,1778636","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 159.744, Length: 4.096"
"16:53:12,1779185","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 163.840, Length: 4.096"
"16:53:12,1779726","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 167.936, Length: 4.096"
"16:53:12,1781612","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 172.032, Length: 4.096"
"16:53:12,1782138","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 176.128, Length: 4.096"
"16:53:12,1782745","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 180.224, Length: 4.096"
"16:53:12,1783268","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 184.320, Length: 4.096"
"16:53:12,1784068","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 188.416, Length: 4.096"
"16:53:12,1784594","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 192.512, Length: 4.096"
"16:53:12,1785103","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 196.608, Length: 4.096"
"16:53:12,1785640","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 200.704, Length: 4.096"
"16:53:12,1787098","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 204.800, Length: 4.096"
"16:53:12,1787594","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 208.896, Length: 4.096"
"16:53:12,1788095","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 212.992, Length: 4.096"
"16:53:12,1788621","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 217.088, Length: 4.096"
"16:53:12,1789363","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 221.184, Length: 4.096"
"16:53:12,1789867","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 225.280, Length: 4.096"
"16:53:12,1790367","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 229.376, Length: 4.096"
"16:53:12,1790872","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 233.472, Length: 4.096"
"16:53:12,1792372","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 237.568, Length: 4.096"
"16:53:12,1792877","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 241.664, Length: 4.096"
"16:53:12,1793352","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 245.760, Length: 4.096"
"16:53:12,1793931","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 249.856, Length: 4.096"
"16:53:12,1794415","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 253.952, Length: 4.096"
"16:53:12,1795139","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 258.048, Length: 4.096"
"16:53:12,1795614","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 262.144, Length: 4.096"
"16:53:12,1796214","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 266.240, Length: 4.096"
